id,name,description,createdAt,updatedAt,authorId
2,Poured rubber,A seamless surface that's good for running.,2023-11-18 03:28:11.365,2023-11-17 21:28:01,clpzow697000310stkk4w574j
4,Rubber mulch,"Made from recycled tires, this surface has the texture of wood chips.",2023-11-18 03:29:21.668,2023-11-17 21:29:16,clpzow697000310stkk4w574j
6,Rubber tile,Factory-engineered tiles that require little maintenance and have a guaranteed critical fall height value.,2023-11-18 03:30:01.953,2023-11-17 21:29:59,clpzow697000310stkk4w574j
7,Sand,A playground surface,2023-11-18 03:31:49.562,2023-11-17 21:31:45,clpzow697000310stkk4w574j
10,Wood chips,"Mulches, Bark, and Wood Chips Description",2023-11-18 03:33:32.301,2023-11-17 21:33:16,clpzow697000310stkk4w574j
1,All surfaces,All surfaces,2023-12-04 14:06:23.911,2023-12-04 14:06:23.911,clpzow697000310stkk4w574j
